"Date","Rev"
"on December 30, 2015","The shuffle plays the same songs almost everytime I listen. Queue update is great! Definitely would recommend!"
"on October 31, 2016","Surprising quality of sound. Easy to use."
"on March 7, 2015","It was amazing. You can search anything you want without paying a penny. I would buy this app if it was 20$ that is just my opinion and I suggest that you get this awesome app"
"on August 2, 2014","If you are looking to get an app that you can listen to music on, this is it! On Spotify you can listen to any music you want, no matter what genre. You can also follow your favorite artists. This app is AWESOME!!!!!!!"
"on August 21, 2016","The search is easy, but too many songs are not available."
"on March 13, 2016","I've never tried this. But no doubt I will someday. And it will probably become an OBSESSION."
"on March 9, 2016","Good app for finding new music. Easy to navigate. No problems interfacing with my Kindle Fire."
"on October 16, 2016","Really cool application to enjoy good music!"
"on June 24, 2016","Has a lot of the music I like. Wish it was free like Iheart & Pandora"
"on April 24, 2016","Its awesome-as long as you have WiFi otherwise its not perfect unless you go premium"
"on May 11, 2017","I love Spotify!"
"on June 9, 2017","Very good sound"
"on October 2, 2017","Excellent app!!"
"on March 26, 2017","AWESOME MUSIC!!"
"on March 9, 2017","love it amazing"
"on September 14, 2014","Practical way to follow your prefered artists and listen to their music, nice and intuitive interface. A pitty the commercials could not be avoided.  It also lacks of many great artists as Tool."
"on June 13, 2017","Best music ever"
"on January 23, 2017","Awesome app. Use it every day"
"on January 6, 2017","good app even without premium"
"on January 14, 2017","I love this app it is great😏"
"on February 12, 2017","Got good selection and stream"
"on October 15, 2017","very good. and simple to use."
"on August 13, 2017","Great. Clear menus. Sound. Ok"
"on January 12, 2017","Use this app daily. Love it!!"
"on December 30, 2016","Worth paying the subscription"
"on February 4, 2017","I like the big band selection"
"on December 29, 2016","The best app music compendium"
"on April 6, 2016","It's a good app it just doesn't have all the songs I listen to on it! But it works good!"
"on January 23, 2015","SPOTIFY is much better than any other music player site because it actually plays the music you want to hear from the band's you choose not from the bands the site wants you to hear."
"on September 9, 2014","I love using Spotify, don't get me wrong, however, I cannot for the life of me get this app to download. As soon as I can install the app my rating will change, but until I get it to the ratingnwill remain low."
"on August 29, 2016","Rock solid app, plus easy navigation of radio channels."
"on July 7, 2016","This app is amazing! I really enjoy listening to my favorite music."
"on May 24, 2016","Best music app I have ever used period.......don't know what I did without it"
"on September 30, 2015","Spotify has revolutionized the way music is played now in terms of availability. There is simply nothing negative to say about it."
"on July 20, 2015","It's incredible but one problem is that sometimes it stops playing my music and then i have to restart the song but other then that it's fantastic"
"on February 18, 2015","Ok..........Spotify (im not sure I spelled it right) is the best app to play music on the bus,hallway,car,plane, ANYTHING..........I hope you like this app as much as me 😆😝😛😁"
"on January 14, 2016","Spotify isn't used enough! Pick and choose all your favorite songs and put it in a playlist. Love this app"
"on January 5, 2016","It's great but it's missing some versions of albums.and.is.missing some classics like jay z reasonable doubt"
"on February 27, 2016","I Wish That Smart TV and the Tablets Apps. Were the Same as the Computer. For as That I Love it."
"on August 4, 2014","It works great, does not crash. You can find all of you favorite songs and you can even find ones that are alike. And you can play all of your music while doing other things. This app is a must have for any music fan."
"on June 1, 2016","You must download this is way better than Pandora and all other music apps."
"on May 28, 2016","I love it. Got to hear music that I love instead of my daughters and grand children."
"on January 18, 2016","It has all of the latest music. Great service especially when you can still listen to the music offline."
"on September 27, 2016","It's an amazing app!Way better than Pandora! :-)"
"on June 27, 2016","Very nice music app - it's free with the option of a premium upgrade."
"on March 2, 2016","Love the access to all kinds of songs. Doesn't handle my I-Tunes music lists very well though."
"on December 9, 2015","Worth it for the premium, but the free version is good too. Much better than Pandora. Pretty much all I listen to."
"on September 20, 2015","Don't get the new update. It takes away the freedom to choose songs if you don't have premium. Basically like the mobile version now"
"on December 18, 2016","Works great, no major issues."
